Respondent,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
T001,Somewhat Agree,Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree
T002,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree
T003,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree
T004,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
T005,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree
T006,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree
T007,Disagree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree
T008,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree
T009,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree
T010,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Somewhat Agree
T011,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
T012,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
T013,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree,Somewhat Agree
T014,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Disagree,Strongly Agree,Disagree
T015,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
T016,Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree
T017,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
T018,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree
T019,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
T020,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree
T021,Disagree,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Disagree,Agree,Disagree
T022,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree
T023,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Strongly Agree,Agree
T024,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree
T025,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree
T026,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T027,Disagree,Agree,Disagree,Disagree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree
T028,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
T029,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Disagree,Disagree,Strongly Disagree
T030,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Somewhat Agree
T031,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Strongly Disagree
T032,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
T033,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
T034,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
T035,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree
T036,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
T037,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
T038,Disagree,Agree,Disagree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
T039,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree
T040,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
T041,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
T042,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree
T043,Disagree,Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree
T044,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
T045,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
T046,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
T047,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T048,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Agree,Disagree,Somewhat Agree,Disagree
T049,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T050,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
