Respondent,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
T001,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Agree
T002,Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
T003,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
T004,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T005,Agree,Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree
T006,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree
T007,Somewhat Agree,Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree
T008,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree
T009,Strongly Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree
T010,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree
T011,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
T012,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree
T013,Strongly Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Agree,Disagree,Agree,Disagree,Agree
T014,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Agree
T015,Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree
T016,Disagree,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Agree
T017,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree
T018,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree
T019,Strongly Disagree,Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
T020,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree
T021,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree
T022,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree
T023,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree
T024,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree
T025,Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Disagree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
